,equity
2023-01-04,100000.0
2023-01-05,98763.0605764389
2023-01-06,100523.4743309021
2023-01-09,101381.5423374176
2023-01-10,102414.55502510071
2023-01-11,104524.10014915466
2023-01-12,104828.34837913513
2023-01-13,105780.7776260376
2023-01-17,105781.99412536621
2023-01-18,104652.30377388
2023-01-19,104525.3785648346
2023-01-20,107974.67629051208
2023-01-23,108875.1585483551
2023-01-24,108496.21857833862
2023-01-25,108404.1254234314
2023-01-26,112100.8618812561
2023-01-27,113517.34211730957
2023-01-30,110032.13781547546
2023-01-31,110755.69709968567
2023-02-01,113880.89616203308
2023-02-02,116461.00176811218
2023-02-03,122419.14519691467
2023-02-06,122137.8894329071
2023-02-07,123076.06715011597
2023-02-08,120977.57266044617
2023-02-09,120823.23631477356
2023-02-10,119942.08984947205
2023-02-13,121600.9146976471
2023-02-14,123931.77526283264
2023-02-15,124069.0211391449
2023-02-16,120963.1623287201
2023-02-17,120891.23878097534
2023-02-21,119887.53455734253
2023-02-22,120219.533618927
2023-02-23,122557.99728775024
2023-02-24,121032.07332229614
2023-02-27,122289.84795761108
2023-02-28,122303.32681274414
2023-03-01,121138.22382545471
2023-03-02,120938.7860660553
2023-03-03,123780.2387599945
2023-03-06,123522.92831611633
2023-03-07,135728.58377838135
2023-03-08,136060.4952468872
2023-03-09,133566.99368286133
2023-03-10,132170.85621452332
2023-03-13,133054.91129875183
2023-03-14,136609.63292503357
2023-03-15,137978.1690273285
2023-03-16,141586.9574432373
2023-03-17,140896.936378479
2023-03-20,140942.1304397583
2023-03-21,143464.08855438232
2023-03-22,142695.7978401184
2023-03-23,144756.64869117737
2023-03-24,144851.94221878052
2023-03-27,143244.72128677368
2023-03-28,142452.59771347046
2023-03-29,144746.1406135559
2023-03-30,145755.21990394592
2023-03-31,148238.0505065918
2023-04-03,148201.26144981384
2023-04-04,148149.9708480835
2023-04-05,163829.8743572235
2023-04-06,164690.99897575378
2023-04-10,164139.7356853485
2023-04-11,163568.17205429077
2023-04-12,163004.55010604858
2023-04-13,164104.1801071167
2023-04-14,164463.54664230347
2023-04-17,164199.30415725708
2023-04-18,164355.27659606934
2023-04-19,164653.91415023804
2023-04-20,162785.76420021057
2023-04-21,162948.61369132996
2023-04-24,162810.4058971405
2023-04-25,159726.98207092285
2023-04-26,160282.24217033386
2023-04-27,162705.31913757324
2023-04-28,162597.29280853271
2023-05-01,162424.05440330505
2023-05-02,161884.4072189331
2023-05-03,161637.3663444519
2023-05-04,161325.47649002075
2023-05-05,183805.60998916626
2023-05-08,184258.95138168335
2023-05-09,183314.09992980957
2023-05-10,185141.44705200195
2023-05-11,186226.98776245117
2023-05-12,185415.01026916504
2023-05-15,186399.6950931549
2023-05-16,187766.5774860382
2023-05-17,190370.60742759705
2023-05-18,193097.0076599121
2023-05-19,192410.65251731873
2023-05-22,193903.10458946228
2023-05-23,191628.40697288513
2023-05-24,191257.3324432373
2023-05-25,199380.86373519897
2023-05-26,203277.46014022827
2023-05-30,205655.67179489136
2023-05-31,203892.1771850586
2023-06-01,207833.96142578125
2023-06-02,209003.15933990479
2023-06-05,209812.18256759644
2023-06-06,224120.27934646606
2023-06-07,222638.6925239563
2023-06-08,223980.60507583618
2023-06-09,225555.89321136475
2023-06-12,226860.84728240967
2023-06-13,229677.55338287354
2023-06-14,230341.69067382812
2023-06-15,230959.88024902344
2023-06-16,230892.21133422852
2023-06-20,232076.7892189026
2023-06-21,230629.7424545288
2023-06-22,231674.3608894348
2023-06-23,229782.7402534485
2023-06-26,227572.0439376831
2023-06-27,229176.31720733643
2023-06-28,229496.18228912354
2023-06-29,229294.46519851685
2023-06-30,230755.89252090454
2023-07-03,232807.97982406616
2023-07-05,233169.5279045105
2023-07-06,232557.82873535156
2023-07-07,237818.33055877686
2023-07-10,236349.48543548584
2023-07-11,237251.81198883057
2023-07-12,240641.2875366211
2023-07-13,244443.92671966553
2023-07-14,244081.25045013428
2023-07-17,245989.01539611816
2023-07-18,247223.51900482178
2023-07-19,247309.084690094
2023-07-20,240419.3691215515
2023-07-21,238164.8648071289
2023-07-24,238636.43033599854
2023-07-25,239720.08192062378
2023-07-26,239267.29454040527
2023-07-27,239093.55589675903
2023-07-28,243321.49048233032
2023-07-31,242833.05669021606
2023-08-01,242163.9561805725
2023-08-02,237718.10472106934
2023-08-03,237708.40871429443
2023-08-04,238144.96207427979
2023-08-07,232633.1415863037
2023-08-08,231995.87686157227
2023-08-09,230614.65836715698
2023-08-10,230707.3316307068
2023-08-11,230344.99110031128
2023-08-14,231345.82319259644
2023-08-15,230522.9845237732
2023-08-16,229643.2518005371
2023-08-17,229101.2813873291
2023-08-18,228660.0149383545
2023-08-21,230371.21781921387
2023-08-22,229515.57276916504
2023-08-23,232692.89505004883
2023-08-24,229775.5370941162
2023-08-25,229958.87746047974
2023-08-28,231093.6875190735
2023-08-29,235122.37897109985
2023-08-30,235970.74097061157
2023-08-31,236751.57510375977
2023-09-01,235553.52011108398
2023-09-05,236471.55937194824
2023-09-06,225099.05187606812
2023-09-07,223904.39946365356
2023-09-08,223821.31079864502
2023-09-11,225064.0139427185
2023-09-12,224072.1551475525
2023-09-13,224899.29609298706
2023-09-14,225534.23287582397
2023-09-15,224267.0496482849
2023-09-18,223918.59938049316
2023-09-19,223906.90731048584
2023-09-20,222560.7852859497
2023-09-21,221104.9481124878
2023-09-22,220585.05912017822
2023-09-25,221048.19330596924
2023-09-26,220002.60049057007
2023-09-27,219916.92128372192
2023-09-28,220683.3988647461
2023-09-29,220652.5959777832
2023-10-02,221685.78397369385
2023-10-03,220354.85382843018
2023-10-04,221813.30587768555
2023-10-05,221696.0217819214
2023-10-06,224499.75352859497
2023-10-09,225019.43591690063
2023-10-10,225701.08484268188
2023-10-11,228356.67275619507
2023-10-12,227696.51818466187
2023-10-13,224056.91733932495
2023-10-16,226051.76468658447
2023-10-17,224619.41480255127
2023-10-18,221665.43365478516
2023-10-19,220480.8310546875
2023-10-20,218024.98355865479
2023-10-23,220353.37087249756
2023-10-24,221503.60745239258
2023-10-25,214748.99141311646
2023-10-26,210385.54766464233
2023-10-27,211344.2685432434
2023-10-30,212607.88665390015
2023-10-31,212674.3973121643
2023-11-01,214261.31708145142
2023-11-02,215013.3007774353
2023-11-03,216803.02166366577
2023-11-06,218033.19190597534
2023-11-07,219987.0584373474
2023-11-08,220549.60680770874
2023-11-09,219419.09702682495
2023-11-10,222862.09313201904
2023-11-13,222581.57358551025
2023-11-14,225433.01329803467
2023-11-15,224424.2456550598
2023-11-16,225338.702003479
2023-11-17,225173.07838058472
2023-11-20,227661.756401062
2023-11-21,226904.31991958618
2023-11-22,226714.71307754517
2023-11-24,225659.30443954468
2023-11-27,225975.9814414978
2023-11-28,227081.16241455078
2023-11-29,225552.30010986328
2023-11-30,223760.77925109863
2023-12-01,223552.3088607788
2023-12-04,221366.6254348755
