,equity
2022-09-10,100000.0
2022-09-11,99931.24794367055
2022-09-12,100496.1015342279
2022-09-13,98269.11377213988
2022-09-14,98671.34085265626
2022-09-15,97431.71868321445
2022-09-16,97054.25610459216
2022-09-17,97767.49933659879
2022-09-18,96153.46326436038
2022-09-19,96848.55342080252
2022-09-20,95993.75117022348
2022-09-21,95289.72031269435
2022-09-22,96493.94607811031
2022-09-23,96751.92295660064
2022-09-24,96498.2717997791
2022-09-25,96096.16520577404
2022-09-26,96879.6503720924
2022-09-27,96557.0154545124
2022-09-28,96841.57736662948
2022-09-29,97060.70485491455
2022-09-30,96790.81555309652
2022-10-01,92597.99262265801
2022-10-02,92200.02959037016
2022-10-03,92907.96420121251
2022-10-04,93655.75887798273
2022-10-05,93529.10477559901
2022-10-06,93286.14851124963
2022-10-07,92950.97716018453
2022-10-08,92711.02281372418
2022-10-09,92838.96353015945
2022-10-10,92334.118055961
2022-10-11,91956.21939546679
2022-10-12,92178.18920904095
2022-10-13,92079.41944715985
2022-10-14,91928.09830223181
2022-10-15,91649.14247904655
2022-10-16,92054.08253276494
2022-10-17,92563.18975907408
2022-10-18,92111.48319553536
2022-10-19,91589.62795931697
2022-10-20,91335.48562796845
2022-10-21,91482.50385301038
2022-10-22,88786.16334368673
2022-10-23,89502.97024343314
2022-10-24,89090.21276380635
2022-10-25,90646.94854112632
2022-10-26,91491.62577778377
2022-10-27,90923.97217928647
2022-10-28,91583.99382637256
2022-10-29,92136.04735603159
2022-10-30,91964.12172455902
2022-10-31,91751.50027614078
2022-11-01,91698.74655357744
2022-11-02,90971.28812959578
2022-11-03,91059.35624097232
2022-11-04,92630.95251853016
2022-11-05,93256.07522706463
2022-11-06,92047.4481363328
2022-11-07,91222.04221677805
2022-11-08,88051.75844782074
2022-11-09,83949.88166552156
2022-11-10,87014.19658439068
2022-11-11,86396.59866152756
2022-11-12,84480.05435235858
2022-11-13,83721.28333942108
2022-11-14,84204.30034353762
2022-11-15,84457.456353862
2022-11-16,84171.64883846008
2022-11-17,83906.45908828753
2022-11-18,83782.27061501137
2022-11-19,83621.06923988898
2022-11-20,82724.61549088261
2022-11-21,82102.425745122
2022-11-22,82755.62228430492
2022-11-23,84227.82425661305
2022-11-24,84452.03469824757
2022-11-25,84149.48062273796
2022-11-26,84211.1566433098
2022-11-27,84122.27837779511
2022-11-28,83549.15913703907
2022-11-29,83893.06786622213
2022-11-30,84997.23891368305
2022-12-01,84509.92684108936
2022-12-02,84771.54753496384
2022-12-03,89122.97830553257
2022-12-04,89651.26124520326
2022-12-05,89529.82312439973
2022-12-06,89883.3504013476
2022-12-07,89172.94579104865
2022-12-08,89707.35749069083
2022-12-09,89514.13118080513
2022-12-10,89522.48851310574
2022-12-11,89419.31000008158
2022-12-12,89464.70993665702
2022-12-13,90238.73201793307
2022-12-14,90351.29520243022
2022-12-15,89870.32697896558
2022-12-16,88116.54429020648
2022-12-17,88435.72272932943
2022-12-18,88347.99093346715
2022-12-19,87838.12870005933
2022-12-20,88543.91672841136
2022-12-21,88395.44873913185
2022-12-22,88232.70897534273
2022-12-23,88224.97856180553
2022-12-24,99590.13103276773
2022-12-25,99533.89181067188
2022-12-26,99566.18143423411
2022-12-27,99222.8997590056
2022-12-28,98043.45863820895
2022-12-29,98078.80332894002
2022-12-30,98230.30244427914
2022-12-31,98252.41230172616
2023-01-01,98333.48520211296
2023-01-02,99470.4055570724
2023-01-03,100929.08137870385
2023-01-04,101350.44246291262
2023-01-05,101288.89052493896
2023-01-06,101531.4032956055
2023-01-07,101239.83507432212
2023-01-08,102212.20833304996
2023-01-09,103611.80498111321
2023-01-10,103772.79721857098
2023-01-11,104407.6137380467
2023-01-12,105156.04967988154
2023-01-13,106664.54032189742
2023-01-14,111645.25431574287
2023-01-15,111107.93264485532
2023-01-16,111643.99915768877
2023-01-17,111326.96150173017
2023-01-18,110039.30694839417
2023-01-19,110667.11544217345
2023-01-20,113648.84457097371
2023-01-21,113183.03678591632
2023-01-22,113022.08537429696
2023-01-23,113153.17386644392
2023-01-24,112056.7011366098
2023-01-25,113263.03750715866
2023-01-26,113099.9076468377
2023-01-27,113111.26317593853
2023-01-28,112788.99284109603
2023-01-29,114312.45829733336
2023-01-30,112750.0904993993
2023-01-31,112981.12090923841
2023-02-01,113916.97920975188
2023-02-02,113562.69512172995
2023-02-03,113828.54992058479
2023-02-04,114940.719458896
2023-02-05,114285.43384619703
2023-02-06,113814.96807219787
2023-02-07,114793.91191236846
2023-02-08,114291.3867398598
2023-02-09,112186.8179450416
2023-02-10,111793.24776603591
2023-02-11,112342.92191488988
2023-02-12,112448.38253525447
2023-02-13,112116.90664598907
2023-02-14,113028.93236059844
2023-02-15,115410.03978275237
2023-02-16,114578.24491809716
2023-02-17,115611.8850990085
2023-02-18,115702.01153903634
2023-02-19,116064.40624205937
2023-02-20,116686.29674404103
2023-02-21,115854.32578982627
2023-02-22,115499.55580465874
2023-02-23,115344.25745273921
2023-02-24,114489.56070807777
2023-02-25,116845.06796498768
2023-02-26,117573.7987391871
2023-02-27,117293.37767854432
2023-02-28,116659.38069186945
2023-03-01,117446.3012490723
2023-03-02,117069.57133247156
2023-03-03,115931.87079399367
2023-03-04,115727.28715167195
2023-03-05,115751.9971590238
2023-03-06,115615.30740963531
2023-03-07,115321.52844582847
2023-03-08,114117.75293955754
2023-03-09,112428.6292449921
2023-03-10,112777.71576523183
2023-03-11,113305.35208510379
2023-03-12,115673.31210600762
2023-03-13,117102.29565107738
2023-03-14,117670.63164288108
2023-03-15,116531.94494828561
2023-03-16,117121.62420014809
2023-03-17,119553.97662764588
2023-03-18,121957.23185748013
2023-03-19,122803.50711802108
2023-03-20,122554.36959588618
2023-03-21,123297.58337799573
2023-03-22,122120.45876628117
2023-03-23,123264.98656234612
2023-03-24,121940.36253101465
2023-03-25,121785.21967340494
